Time,Steering Wheel,Break,Activating Signal
11:55.352,2671,32767,0
11:55.367,2834,32767,0
11:55.383,3003,32767,0
11:55.409,3352,32767,0
11:55.426,3534,32767,0
11:55.452,3921,32767,0
11:55.469,4098,32767,0
11:55.482,4296,32767,0
11:55.511,4618,32767,0
11:55.526,4825,32767,0
11:55.556,5180,32767,0
11:55.569,5397,32767,0
11:55.583,5534,32767,0
11:55.613,5822,32767,0
11:55.627,5938,32767,0
11:55.643,6045,32767,0
11:55.669,6249,32767,0
11:55.685,6352,32767,0
11:55.712,6550,32767,0
11:55.729,6646,32767,0
11:55.743,6773,32767,0
11:55.773,6963,32767,0
11:55.787,7085,32767,0
11:55.816,7263,32767,0
11:55.830,7373,32767,0
11:55.844,7447,32767,0
11:55.873,7571,32767,0
11:55.886,7624,32767,0
11:55.903,7675,32767,0
11:55.931,7760,32767,0
11:55.949,7796,32767,0
11:55.964,7854,32767,0
11:55.994,7946,32767,0
11:56.010,8016,32767,0
11:56.027,8075,32767,0
11:56.042,8135,32767,0
11:56.073,8215,32767,0
11:56.087,8245,32767,0
11:56.101,8247,32767,0
11:56.129,8202,32767,0
11:56.142,8163,32767,0
11:56.171,8005,32767,0
11:56.186,7918,32767,0
11:56.203,7781,32767,0
11:56.229,7514,32767,0
11:56.244,7374,32767,0
11:56.271,7079,32767,0
11:56.288,6921,32767,0
11:56.304,6713,32767,0
11:56.332,6379,32767,0
11:56.346,6189,32767,0
11:56.375,5856,32767,0
11:56.389,5634,32767,0
11:56.404,5428,32767,0
11:56.433,4931,32767,0
11:56.447,4681,32767,0
11:56.462,4425,32767,0
11:56.489,3850,32767,0
11:56.506,3536,32767,0
11:56.533,2834,32767,0
11:56.551,2494,32767,0
11:56.565,2072,32767,0
11:56.594,1544,32767,0
11:56.607,1234,32767,0
11:56.622,1050,32767,0
11:56.651,657,32767,0
11:56.666,502,32767,0
11:56.682,371,32767,0
11:56.709,154,32767,0
11:56.726,77,32767,0
11:56.752,-31,32767,0
11:56.769,-46,32767,0
11:56.782,-45,32767,0
11:56.813,-32,32767,0
11:56.829,3,32767,0
11:56.843,62,32767,0
11:56.871,253,32767,0
11:56.885,370,32767,0
11:56.901,468,32767,0
11:56.928,690,32767,0
11:56.943,803,32767,0
11:56.971,979,32767,0
